Filepath,Width,Height,BandCount,Band1_Min,Band1_Max,Band1_Mean,Band1_StdDev,Band1_BlockMean,Band1_BandSumVariance,Band2_Min,Band2_Max,Band2_Mean,Band2_StdDev,Band2_BlockMean,Band2_BandSumVariance,Band3_Min,Band3_Max,Band3_Mean,Band3_StdDev,Band3_BlockMean,Band3_BandSumVariance,Band4_Min,Band4_Max,Band4_Mean,Band4_StdDev,Band4_BlockMean,Band4_BandSumVariance,Band5_Min,Band5_Max,Band5_Mean,Band5_StdDev,Band5_BlockMean,Band5_BandSumVariance,Band6_Min,Band6_Max,Band6_Mean,Band6_StdDev,Band6_BlockMean,Band6_BandSumVariance
./sentinel/dataset/chop_fire/tile_1_0_2.tif,512,512,6,0.106800,0.281900,0.139729,0.010754,0.139729,0.987690,0.072200,0.541100,0.123102,0.016529,0.123102,1.710131,0.054300,0.565700,0.117440,0.019572,0.117440,2.609546,0.036300,0.615200,0.125657,0.031724,0.125657,5.902681,0.017000,0.671600,0.206552,0.071816,0.206552,57.304308,0.011900,0.476700,0.179307,0.042720,0.179307,16.336859
./sentinel/dataset/chop_fire/tile_2_0_1.tif,512,512,6,0.208500,0.322600,0.269102,0.030184,0.269102,75.824839,0.169300,0.318600,0.242586,0.035533,0.242586,117.601597,0.132700,0.294700,0.207907,0.035590,0.207907,122.095346,0.107500,0.283100,0.184451,0.034053,0.184451,102.709833,0.086000,0.310200,0.184594,0.033750,0.184594,57.096016,0.015100,1.506500,0.154055,0.122639,0.154055,597.815349
./sentinel/dataset/chop_fire/tile_2_0_3.tif,512,512,6,0.002200,0.444400,0.152521,0.115740,0.152521,679.084021,0.002600,0.520800,0.167254,0.124502,0.167254,733.139354,0.004200,0.553600,0.166711,0.121622,0.166711,669.255903,0.001800,0.564000,0.151427,0.118939,0.151427,627.117152,0.051000,0.539600,0.213748,0.067097,0.213748,222.217123,0.005200,1.733000,0.127415,0.241359,0.127415,2082.310232
./sentinel/dataset/chop_fire/tile_1_0_3.tif,512,512,6,0.002900,0.386100,0.177544,0.097545,0.177544,874.213157,0.000100,0.446800,0.196571,0.110369,0.196571,1267.201208,0.001600,0.451600,0.199732,0.111655,0.199732,1388.967581,0.000500,0.454400,0.180556,0.112371,0.180556,1466.839722,0.035900,0.441700,0.254179,0.051892,0.254179,215.732936,0.009700,0.168000,0.043435,0.014337,0.043435,5.342035
./sentinel/dataset/chop_fire/tile_2_1_1.tif,512,512,6,0.124300,0.312100,0.212171,0.054787,0.212171,691.441263,0.092100,0.403300,0.182276,0.058341,0.182276,774.130020,0.070100,0.448200,0.152008,0.052931,0.152008,632.346821,0.043400,0.480500,0.125888,0.050677,0.125888,545.601997,0.039200,0.451200,0.173176,0.039700,0.173176,129.754474,0.000000,1.498100,0.098974,0.086050,0.098974,77.005772
./sentinel/dataset/chop_fire/tile_1_1_4.tif,512,512,6,0.008600,0.295400,0.060215,0.034650,0.060215,67.634521,0.016200,0.451800,0.077678,0.035575,0.077678,52.245021,0.006900,0.707900,0.172706,0.062616,0.172706,49.034052,0.017800,0.495000,0.116629,0.048965,0.116629,32.454383,0.023900,0.633600,0.258082,0.058703,0.258082,17.507119,0.006900,0.707900,0.172706,0.062616,0.172706,49.034052
./sentinel/dataset/chop_fire/tile_2_0_5.tif,512,512,6,0.000000,0.430000,0.084301,0.104073,0.084301,721.593685,0.000000,0.456700,0.093754,0.106579,0.093754,707.830008,0.000000,0.426800,0.100384,0.096719,0.100384,534.995632,0.001700,0.407500,0.097607,0.086079,0.097607,422.532156,0.002000,0.439100,0.168950,0.051054,0.168950,73.726291,0.008000,1.729000,0.184981,0.292125,0.184981,7073.112551
./sentinel/dataset/chop_fire/tile_0_0_2.tif,512,512,6,0.104700,0.237700,0.140019,0.012818,0.140019,4.524428,0.076100,0.495600,0.126170,0.019051,0.126170,9.162422,0.059500,0.530300,0.124287,0.024420,0.124287,16.294022,0.040800,0.612300,0.139858,0.041109,0.139858,41.010090,0.029300,0.672700,0.228868,0.066778,0.228868,148.176889,0.027800,0.607800,0.200935,0.053939,0.200935,85.443075
./sentinel/dataset/chop_fire/tile_3_0_2.tif,512,512,6,0.095200,0.177200,0.144854,0.016287,0.144854,3.033901,0.069100,0.184300,0.122680,0.015782,0.122680,2.563854,0.050200,0.186200,0.104084,0.013800,0.104084,2.379069,0.030100,0.204000,0.093155,0.016514,0.093155,2.956926,0.093000,0.372800,0.175211,0.018385,0.175211,7.535466,0.025400,0.262200,0.106653,0.037844,0.106653,14.875020
./sentinel/dataset/chop_fire/tile_0_0_3.tif,512,512,6,0.000100,0.352300,0.029887,0.046874,0.029887,270.600480,0.000100,0.374600,0.034463,0.048713,0.034463,270.705964,0.000100,0.342000,0.041634,0.043699,0.041634,202.275006,0.000100,0.306000,0.029665,0.038286,0.029665,144.715065,0.010600,0.567100,0.204414,0.055936,0.204414,87.923066,0.001300,0.232400,0.035430,0.020343,0.035430,7.118322
